network_type,target_plr,threshold_method,threshold_value,duplication_delay,n_frames,n_duplicated,duplication_rate,base_bitrate_kbps,total_bitrate_kbps,bandwidth_overhead_pct,raw_loss_rate,n_recovered,recovery_rate,n_concealed,post_recovery_loss_rate,PESQ,PESQ_WB,PESQ_NB,STOI,ESTOI,SI-SDR,concealment_rate,n_lost_frames,mean_burst_len,max_burst_len,n_bursts,codec,file,seed
random_loss,0.0,all_duplicate,all_duplicate,2,300,300,1.0,3.0,6.0,100.0,0.0,0,0.0,0,0.0,3.234401226043701,3.234401226043701,3.6661603450775146,0.9497512405963333,0.8711391689646194,5.915631008687495,0.0,0,0.0,0,0,HILCodec_3kbps,1089-134686-0000.flac,42
random_loss,0.0,all_duplicate,all_duplicate,2,300,300,1.0,3.0,6.0,100.0,0.0,0,0.0,0,0.0,3.234401226043701,3.234401226043701,3.6661603450775146,0.9497512405963333,0.8711391689646194,5.915631008687495,0.0,0,0.0,0,0,HILCodec_3kbps,1089-134686-0000.flac,123
random_loss,0.01,no_duplicate,no_duplicate,1,300,0,0.0,3.0,3.0,0.0,0.0033333333333332993,0,0.0,1,0.0033333333333333335,2.9943759441375732,2.9943759441375732,3.5854315757751465,0.9492358083856686,0.8696911224007775,5.721502158326384,0.0033333333333333335,1,1.0,1,1,HILCodec_3kbps,1089-134686-0000.flac,42
random_loss,0.01,no_duplicate,no_duplicate,1,300,0,0.0,3.0,3.0,0.0,0.013333333333333308,0,0.0,4,0.013333333333333334,3.0037448406219482,3.0037448406219482,3.543487310409546,0.9479177248872033,0.8679781737280844,5.524485937794975,0.013333333333333334,4,1.0,1,4,HILCodec_3kbps,1089-134686-0000.flac,123
random_loss,0.01,no_duplicate,no_duplicate,2,300,0,0.0,3.0,3.0,0.0,0.0033333333333332993,0,0.0,1,0.0033333333333333335,2.9943759441375732,2.9943759441375732,3.5854315757751465,0.9492358083856686,0.8696911224007775,5.721502158326384,0.0033333333333333335,1,1.0,1,1,HILCodec_3kbps,1089-134686-0000.flac,42
random_loss,0.01,no_duplicate,no_duplicate,2,300,0,0.0,3.0,3.0,0.0,0.013333333333333308,0,0.0,4,0.013333333333333334,3.0037448406219482,3.0037448406219482,3.543487310409546,0.9479177248872033,0.8679781737280844,5.524485937794975,0.013333333333333334,4,1.0,1,4,HILCodec_3kbps,1089-134686-0000.flac,123
random_loss,0.01,fixed_0.3,0.3,1,300,45,0.15,3.0,3.4499999999999997,15.0,0.0033333333333332993,0,0.0,1,0.0033333333333333335,2.9943759441375732,2.9943759441375732,3.5854315757751465,0.9492358083856686,0.8696911224007775,5.721502158326384,0.0033333333333333335,1,1.0,1,1,HILCodec_3kbps,1089-134686-0000.flac,42
random_loss,0.01,fixed_0.3,0.3,1,300,45,0.15,3.0,3.4499999999999997,15.0,0.013333333333333308,0,0.0,4,0.013333333333333334,3.0037448406219482,3.0037448406219482,3.543487310409546,0.9479177248872033,0.8679781737280844,5.524485937794975,0.013333333333333334,4,1.0,1,4,HILCodec_3kbps,1089-134686-0000.flac,123
random_loss,0.01,fixed_0.3,0.3,2,300,45,0.15,3.0,3.4499999999999997,15.0,0.0033333333333332993,0,0.0,1,0.0033333333333333335,2.9943759441375732,2.9943759441375732,3.5854315757751465,0.9492358083856686,0.8696911224007775,5.721502158326384,0.0033333333333333335,1,1.0,1,1,HILCodec_3kbps,1089-134686-0000.flac,42
random_loss,0.01,fixed_0.3,0.3,2,300,45,0.15,3.0,3.4499999999999997,15.0,0.013333333333333308,0,0.0,4,0.013333333333333334,3.0037448406219482,3.0037448406219482,3.543487310409546,0.9479177248872033,0.8679781737280844,5.524485937794975,0.013333333333333334,4,1.0,1,4,HILCodec_3kbps,1089-134686-0000.flac,123
